source,time,region,region_code,lat,lon,temp,temp_feels,hum,pressure,wind_speed,wind_dir,weather_code,processed_at,quality_flag,weather_label
openweathermap,2026-05-08 09:30:56.514863+00:00,Diourbel,DB,14.6554,-16.2322,24.09,24.12,60.0,1011.0,9.26,360,800,2026-05-08T09:30:56.662555+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:30:58.411439+00:00,Fatick,FK,14.339,-16.4114,25.1,25.3,52.0,1011.5,9.6,355,0,2026-05-08T09:30:58.840002+00:00,OK,
openweathermap,2026-05-08 09:30:58.746142+00:00,Fatick,FK,14.339,-16.4114,25.42,25.11,42.0,1012.0,5.54,343,800,2026-05-08T09:30:58.890967+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:31:01.781300+00:00,Kaolack,KL,14.1652,-16.0726,26.0,25.9,46.0,1011.2,8.6,352,1,2026-05-08T09:31:02.867622+00:00,OK,
openweathermap,2026-05-08 09:31:02.731216+00:00,Kaolack,KL,14.1652,-16.0726,24.97,24.91,53.0,1012.0,5.14,360,800,2026-05-08T09:31:02.909373+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:31:04.624894+00:00,Kaffrine,KF,14.1059,-15.5503,27.2,26.8,39.0,1010.4,7.5,349,2,2026-05-08T09:31:05.019915+00:00,OK,
openweathermap,2026-05-08 09:31:04.893854+00:00,Kaffrine,KF,14.1059,-15.5503,26.75,26.38,33.0,1012.0,2.25,355,800,2026-05-08T09:31:05.047239+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:31:07.826286+00:00,Tambacounda,TC,13.7707,-13.6673,32.2,30.9,28.0,1007.1,10.9,297,3,2026-05-08T09:31:08.676906+00:00,OK,
openweathermap,2026-05-08 09:31:08.584450+00:00,Tambacounda,TC,13.7707,-13.6673,29.12,30.93,58.0,1011.0,4.12,240,800,2026-05-08T09:31:08.705915+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:31:10.472860+00:00,Kédougou,KD,12.5559,-12.1747,31.2,29.3,36.0,997.1,23.2,264,3,2026-05-08T09:31:10.816085+00:00,OK,
openweathermap,2026-05-08 09:31:10.736399+00:00,Kédougou,KD,12.5559,-12.1747,30.31,30.73,45.0,1011.0,3.09,240,800,2026-05-08T09:31:10.842651+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:31:13.756676+00:00,Kolda,KO,12.8989,-14.9413,29.1,29.6,39.0,1008.4,5.1,306,1,2026-05-08T09:31:14.592645+00:00,OK,
openweathermap,2026-05-08 09:31:14.502271+00:00,Kolda,KO,12.8989,-14.9413,27.05,28.86,69.0,1012.0,2.06,220,800,2026-05-08T09:31:14.630237+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:31:16.384043+00:00,Sédhiou,SD,12.708,-15.5569,28.3,28.6,40.0,1009.4,5.7,328,0,2026-05-08T09:31:16.722977+00:00,OK,
openweathermap,2026-05-08 09:31:16.640453+00:00,Sédhiou,SD,12.708,-15.5569,29.49,28.29,30.0,1012.0,1.12,350,803,2026-05-08T09:31:16.759826+00:00,OK,nuageux
open-meteo,2026-05-08 09:31:18.607103+00:00,Ziguinchor,ZG,12.5681,-16.2719,27.0,28.4,51.0,1010.2,5.1,328,0,2026-05-08T09:31:19.003671+00:00,OK,
openweathermap,2026-05-08 09:31:18.923499+00:00,Ziguinchor,ZG,12.5681,-16.2719,26.03,26.03,69.0,1012.0,1.03,340,800,2026-05-08T09:31:19.215026+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:31:20.829142+00:00,Saint-Louis,SL,16.0179,-16.4896,23.5,22.9,63.0,1011.2,19.0,345,3,2026-05-08T09:31:21.631870+00:00,OK,
openweathermap,2026-05-08 09:31:21.533343+00:00,Saint-Louis,SL,16.0179,-16.4896,23.99,24.25,69.0,1012.0,4.12,360,800,2026-05-08T09:31:21.682144+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:31:23.629875+00:00,Louga,LG,15.6179,-16.2241,24.7,24.5,54.0,1007.2,11.9,342,3,2026-05-08T09:31:24.004268+00:00,OK,
openweathermap,2026-05-08 09:31:23.933981+00:00,Louga,LG,15.6179,-16.2241,24.45,24.13,45.0,1012.0,6.76,346,800,2026-05-08T09:31:24.032695+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:31:25.910689+00:00,Matam,MT,15.6559,-13.2557,33.3,30.7,22.0,1007.6,16.0,341,3,2026-05-08T09:31:26.563551+00:00,OK,
openweathermap,2026-05-08 09:31:26.490922+00:00,Matam,MT,15.6559,-13.2557,30.03,29.96,42.0,1010.0,2.06,340,800,2026-05-08T09:31:26.720790+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:32:28.635864+00:00,Dakar,DK,14.6928,-17.4467,22.9,22.6,72.0,1011.4,20.5,1,1,2026-05-08T09:32:29.595770+00:00,OK,
openweathermap,2026-05-08 09:32:29.471192+00:00,Dakar,DK,14.6928,-17.4467,22.93,23.45,83.0,1012.0,6.17,320,800,2026-05-08T09:32:29.621031+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:32:31.373826+00:00,Thiès,TH,14.7886,-16.9255,24.3,24.2,61.0,1003.7,15.8,348,2,2026-05-08T09:32:31.751869+00:00,OK,
openweathermap,2026-05-08 09:32:31.635782+00:00,Thiès,TH,14.7886,-16.9255,23.08,22.75,50.0,1012.0,6.53,360,802,2026-05-08T09:32:31.779978+00:00,OK,partiellement nuageux
open-meteo,2026-05-08 09:32:33.608989+00:00,Diourbel,DB,14.6554,-16.2322,25.4,25.2,50.0,1010.7,10.7,348,1,2026-05-08T09:32:34.023984+00:00,OK,
openweathermap,2026-05-08 09:32:33.898748+00:00,Diourbel,DB,14.6554,-16.2322,24.09,24.12,60.0,1011.0,9.26,360,800,2026-05-08T09:32:34.058785+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:32:35.815181+00:00,Fatick,FK,14.339,-16.4114,25.1,25.3,52.0,1011.5,9.6,355,0,2026-05-08T09:32:36.716323+00:00,OK,
openweathermap,2026-05-08 09:32:36.645407+00:00,Fatick,FK,14.339,-16.4114,25.42,25.11,42.0,1012.0,5.54,343,800,2026-05-08T09:32:36.738126+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:32:38.583505+00:00,Kaolack,KL,14.1652,-16.0726,26.0,25.9,46.0,1011.2,8.6,352,1,2026-05-08T09:32:38.938002+00:00,OK,
openweathermap,2026-05-08 09:32:38.863931+00:00,Kaolack,KL,14.1652,-16.0726,24.97,24.91,53.0,1012.0,5.14,360,800,2026-05-08T09:32:39.316453+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:32:40.778378+00:00,Kaffrine,KF,14.1059,-15.5503,27.2,26.8,39.0,1010.4,7.5,349,2,2026-05-08T09:32:41.859560+00:00,OK,
openweathermap,2026-05-08 09:32:41.541683+00:00,Kaffrine,KF,14.1059,-15.5503,26.75,26.38,33.0,1012.0,2.25,355,800,2026-05-08T09:32:41.890164+00:00,OK,ciel dégagé
